,Current Lat,Current Long,Home Lat,Home Long,Current Hdg,Target Hdg,Current vel,Target vel,Current Motor Setting,Rudder Config Var,Distance To Home,time,Dist To Home
2023-12-19T17:47:36.298028,22.190075,114.09333,22.19009,114.093323,263.668335,333.0,0.084167,0.186992,4.511614,10.0,1.869919,2023-12-19T09:47:36.295860,1.8110742267030064
2023-12-19T17:47:36.367213,22.190075,114.09333,22.19009,114.093323,264.305298,333.0,0.084167,0.186992,4.511614,10.0,1.869919,2023-12-19T09:47:36.366210,
2023-12-19T17:47:39.072628,22.190075,114.09333,22.19009,114.093323,257.480225,333.0,0.084167,0.186992,4.655569,10.0,1.869919,2023-12-19T09:47:39.071487,
2023-12-19T17:47:42.296199,22.190075,114.093323,22.19009,114.093323,259.296082,0.0,0.050556,0.169817,5.258363,10.0,1.698173,2023-12-19T09:47:42.295412,
2023-12-19T17:47:42.772784,22.190075,114.093323,22.19009,114.093323,269.110748,0.0,0.050556,0.169817,5.341846,10.0,1.698173,2023-12-19T09:47:42.771947,
2023-12-19T17:47:44.013674,22.190075,114.093323,22.19009,114.093323,292.889832,0.0,0.144444,0.169817,5.526573,10.0,1.698173,2023-12-19T09:47:44.012047,
2023-12-19T17:47:45.256745,22.190075,114.093323,22.19009,114.093323,318.003784,0.0,0.078333,0.169817,5.626133,10.0,1.698173,2023-12-19T09:47:45.255899,
2023-12-19T17:47:46.339053,22.190077,114.093323,22.19009,114.093323,335.261169,0.0,0.064444,0.169817,5.690172,10.0,1.698173,2023-12-19T09:47:46.338260,
2023-12-19T17:47:46.838941,22.190077,114.093323,22.19009,114.093323,335.208801,0.0,0.064444,0.148287,5.807551,10.0,1.482865,2023-12-19T09:47:46.837783,
2023-12-19T17:47:47.952392,22.190077,114.093323,22.19009,114.093323,344.291199,0.0,0.078056,0.148287,5.915403,10.0,1.482865,2023-12-19T09:47:47.950709,
2023-12-19T17:47:49.298640,22.190077,114.093323,22.19009,114.093323,359.876556,0.0,0.140278,0.148287,6.013727,10.0,1.482865,2023-12-19T09:47:49.297036,
2023-12-19T17:47:50.407120,22.190079,114.093323,22.19009,114.093323,21.547138,0.0,0.148611,0.148287,6.019106,10.0,1.482865,2023-12-19T09:47:50.405164,
2023-12-19T17:47:51.873465,22.190079,114.093323,22.19009,114.093323,28.786165,0.0,0.148611,0.127363,6.004232,30.633452,1.273629,2023-12-19T09:47:51.871487,
2023-12-19T17:47:54.469515,22.190079,114.09333,22.19009,114.093323,41.833359,326.0,0.232778,0.149798,5.977018,90.0,1.497982,2023-12-19T09:47:54.467582,
2023-12-19T17:47:55.867308,22.190079,114.09333,22.19009,114.093323,19.71776,326.0,0.191944,0.149798,5.831344,90.0,1.497982,2023-12-19T09:47:55.866514,
2023-12-19T17:47:57.226379,22.190079,114.09333,22.19009,114.093323,4.632766,326.0,0.294444,0.149798,5.772339,90.0,1.497982,2023-12-19T09:47:57.224367,
